id;date;price;level;levels;rooms;area;kitchen_area;geo_lat;geo_lon;building_type;object_type;postal_code;street_id;id_region;house_id
248;2021-01-01;5050000;10;19;1;39.8;11.3;55.7943584;49.1114975;0;2;420061;131236;16;2294167
249;2021-01-01;3337000;4;12;3;70.2;14.3;58.2363746;68.2805991;3;2;626158;;72;1242028
250;2021-01-01;2395600;6;25;1;30.5;0;56.7801124;60.6993548;0;2;620000;;66;1632918
251;2021-01-01;3100000;3;5;3;59;9;44.6081542;40.1383814;0;0;385000;;1;
252;2021-01-01;8860255;5;15;1;46.9;17.4;55.590612;37.446138;0;2;;587420;77;2837707
253;2021-01-01;965000;5;9;1;37;8;52.038654;47.77185;0;0;413865;;64;
254;2021-01-01;1100000;4;5;2;45;6;56.1770066;34.56989;2;0;172332;374643;69;2428010
255;2021-01-01;4858300;3;25;1;51.1;-100;45.1274616;38.9633307;3;2;;400564;23;927222
256;2021-01-01;2090000;14;27;1;44;-100;54.60475;39.796903;3;2;390037;;62;
257;2021-01-01;1950000;4;5;2;35;0;57.1327243;65.5822106;4;0;625023;228530;72;1714063
258;2021-01-01;5170000;7;10;2;53.61;0;55.8619706;49.1990682;0;0;420096;;16;1704166
259;2021-01-01;2499000;5;5;2;54;0;56.346127;41.275458;2;0;601903;483252;33;912664
260;2021-01-01;1300000;3;4;2;45.1;-100;56.22305;51.07201;4;0;612964;;43;
261;2021-01-01;2126500;9;14;1;42.55;10.5;56.8200838;35.898655;0;2;170043;519001;69;2217524
262;2021-01-01;3300000;1;10;1;41.8;13.1;55.125896;82.894414;4;2;630040;579548;54;1627459
263;2021-01-01;10050000;7;8;2;70.8;-100;55.5294003;37.7123165;3;2;142701;;50;2347031
264;2021-01-01;7109656;14;16;1;38.6;16.3;55.590612;37.446138;0;2;;587420;77;2837707
265;2021-01-01;2400000;5;5;3;61.3;6;64.420815;40.796864;0;0;164902;;29;
266;2021-01-01;4700000;1;10;-1;67.4;5;55.125896;82.894414;4;2;630040;579548;54;1627459
267;2021-01-01;250000;1;2;2;52;-100;59.113809;46.148657;6;0;157650;;44;
268;2021-01-01;1970000;11;14;1;37.82;10.6;56.8200838;35.898655;0;2;170043;519001;69;2217524
269;2021-01-01;2800000;2;10;2;50;8.2;53.3766841;83.7165378;2;0;656010;348411;22;2365329
270;2021-01-01;3550000;8;10;1;48;-100;56.064452;92.9233868;4;0;660125;;24;
271;2021-01-01;2560000;3;5;2;47.3;6.7;51.9903475;113.5939828;0;0;672016;267334;75;2052270
272;2021-01-01;4350000;7;10;3;62.7;11;44.7415855;37.7238478;2;0;353912;568636;23;1196149
